,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499
1,neutral,-701.1215547877,-701.1295924611,-701.1261943415,-701.1209030897,-701.098276431,-701.1145524135,-701.1172332506,-701.1059178242,-701.1224741598,-701.1238633264,-701.0981544893,-701.1125601395,-701.1262057515,-701.1156701402,-701.1263860648,-701.1247095765,-701.1082890353,-701.1175281946,-701.1091221923,-701.1206171289,-701.1164775597,-701.1130158584,-701.1165182714,-701.1087583327,-701.1215907991,-701.132292902,-701.1119829031,-701.120506808,-701.1239116044,-701.1071448549,-701.112351255,-701.1303397287,-701.1093891295,-701.1121335551,-701.1046078327,-701.1125598349,-701.1252205642,-701.1175351235,-701.1225482336,-701.1128279647,-701.1159882017,-701.0967673932,-701.1256979213,-701.122150909,-701.1061771165,-701.1322975372,-701.1190187992,-701.1119445959,-701.1213535945,-701.1053876175,-701.1179976366,-701.1122727475,-701.1129639254,-701.1125913392,-701.1204314244,-701.1120594359,-701.1186848009,-701.1163660214,-701.1256595956,-701.1006576325,-701.1067114892,-701.1110140263,-701.1052031387,-701.1180510709,-701.1029116227,-701.1020895905,-701.1147338467,-701.1042886247,-701.125851052,-701.1132515188,-701.1080575466,-701.1250001879,-701.1043440135,-701.1072819183,-701.1232738457,-701.1111427897,-701.1056239055,-701.1103397419,-701.1074183256,-701.1049154433,-701.1191313798,-701.1153644786,-701.1249872346,-701.1246425799,-701.1081196753,-701.1069570592,-701.1222130164,-701.0892782074,-701.1368190204,-701.1114802175,-701.1216328733,-701.1123302655,-701.108611416,-701.121300875,-701.1228829541,-701.118739992,-701.1097680343,-701.1022393662,-701.1211525909,-701.1218678266,-701.1137100433,-701.1216819355,-701.1015668293,-701.1268149523,-701.1212496298,-701.1182082156,-701.1306345613,-701.0983646888,-701.1195462003,-701.1097306884,-701.1271113721,-701.11614451,-701.1204037477,-701.1217169735,-701.0988798981,-701.1238165843,-701.1056519797,-701.1211897211,-701.1228243601,-701.1156201037,-701.1166686445,-701.1109541973,-701.0983286191,-701.1321952628,-701.1220847348,-701.1156495893,-701.1204729892,-701.1045495901,-701.1096067305,-701.136728055,-701.116248415,-701.1355040111,-701.1179983021,-701.1081879951,-701.1162025347,-701.1323711092,-701.1077280958,-701.1262966464,-701.1191909989,-701.1204716686,-701.1094020442,-701.1198610728,-701.1144899215,-701.1086703085,-701.0998687766,-701.1165141995,-701.1286441643,-701.1339510362,-701.1226268858,-701.1074848275,-701.1249786016,-701.1386608932,-701.1266772306,-701.1155809872,-701.1115680986,-701.1182522936,-701.1113706041,-701.1075674335,-701.1013030833,-701.1066273644,-701.1272223812,-701.1086812579,-701.1162148249,-701.1236536516,-701.1208041638,-701.1009010257,-701.1133195693,-701.1133161369,-701.1159667693,-701.1190768145,-701.1091477737,-701.1273416837,-701.1137571624,-701.12134542,-701.1318024665,-701.1164312898,-701.12397414,-701.1121304392,-701.1184624467,-701.1050017523,-701.1192539129,-701.1112420226,-701.1149259096,-701.1064149583,-701.1200969129,-701.1233413328,-701.0967888487,-701.1150515802,-701.1181313025,-701.1048164427,-701.1220244406,-701.1006857359,-701.1165107684,-701.1145339174,-701.1239611591,-701.1194215031,-701.1106054155,-701.118920362,-701.1240199988,-701.1116930931,-701.1146163794,-701.1105175815,-701.1165124409,-701.1076043053,-701.1260306612,-701.109929256,-701.1271710632,-701.1230111119,-701.0982624031,-701.1075967225,-701.1268124139,-701.1245934579,-701.1196966237,-701.1073870358,-701.1314248636,-701.1334698886,-701.1123235455,-701.1154971605,-701.1215286206,-701.1074809671,-701.1132955862,-701.1250965456,-701.1034492757,-701.1119960299,-701.1008262433,-701.1039437351,-701.1033951682,-701.1234700841,-701.0967334154,-701.1233122744,-701.1271876436,-701.1195638108,-701.1249521593,-701.1223243123,-701.1191930452,-701.107444806,-701.1033903344,-701.1264899763,-701.1323346546,-701.1076541892,-701.1190279113,-701.113043342,-701.1074566567,-701.1156914648,-701.1099065667,-701.1193539624,-701.1254379503,-701.1122093255,-701.1189447858,-701.106113968,-701.1157227199,-701.1065441041,-701.1361965925,-701.1119385634,-701.108235692,-701.1165191926,-701.1305308254,-701.1226939811,-701.1150116432,-701.1156424896,-701.1189490428,-701.1195434066,-701.1169559428,-701.1309122516,-701.1110125261,-701.1000044226,-701.1101092099,-701.1255282186,-701.1133326581,-701.1072080649,-701.1189669096,-701.1108211408,-701.1209007078,-701.1219739319,-701.1195309823,-701.1237346741,-701.113080933,-701.1008210375,-701.1155486019,-701.1152646868,-701.1218802368,-701.1047140909,-701.127469761,-701.1198492386,-701.1162340858,-701.1104823656,-701.116816085,-701.1106720279,-701.1370109676,-701.1070349603,-701.1101847934,-701.1145493976,-701.1231427998,-701.1042972551,-701.1351113606,-701.0816995957,-701.1131995074,-701.1132485686,-701.123559898,-701.1035205927,-701.1291578736,-701.1102647331,-701.1122195544,-701.1259906617,-701.1085856615,-701.1058762382,-701.1161614579,-701.1239443644,-701.1191805706,-701.118896701,-701.1321185664,-701.1380814259,-701.1112024807,-701.1252495974,-701.1235998642,-701.099442171,-701.1171130961,-701.1114726066,-701.1192404944,-701.1101364433,-701.1134741681,-701.100090795,-701.1076979024,-701.118827837,-701.1107798869,-701.1233023483,-701.1175539439,-701.1179527933,-701.120916318,-701.1225636035,-701.1030083207,-701.1058915282,-701.1110687467,-701.1107569146,-701.1173582272,-701.1223664405,-701.1003797354,-701.1158106137,-701.11791037,-701.130945098,-701.1338882055,-701.1165559755,-701.1189769054,-701.1223209809,-701.1215954892,-701.1145474934,-701.1007133424,-701.1186492893,-701.1011676419,-701.1325353248,-701.1362747171,-701.1100167089,-701.1114912901,-701.1188572347,-701.1152118013,-701.1223922516,-701.1226227372,-701.1197935544,-701.122172096,-701.1223100507,-701.1021787088,-701.1134670101,-701.111746747,-701.115484285,-701.1321543687,-701.1286224855,-701.1108147479,-701.1058094995,-701.1235659175,-701.1177133762,-701.1179277,-701.1165914012,-701.1276580026,-701.1110990527,-701.1174051448,-701.1157558815,-701.1136473685,-701.1063940871,-701.1282982121,-701.1078766628,-701.1157394622,-701.1232484664,-701.105854585,-701.1205050758,-701.1118809667,-701.1255531479,-701.1232537221,-701.1305832617,-701.1266764989,-701.1349784017,-701.1244636091,-701.108942649,-701.1286675432,-701.1191928693,-701.1149667398,-701.1086834686,-701.1159171914,-701.129304173,-701.1118816447,-701.1114076847,-701.111800844,-701.130806946,-701.119240916,-701.1221146843,-701.0913756356,-701.1133686619,-701.1219843311,-701.1198014744,-701.1205910665,-701.1367160417,-701.093376474,-701.1200134089,-701.1190876584,-701.1232373465,-701.1109851797,-701.1196453302,-701.1231417968,-701.1054484818,-701.0956645477,-701.1176816191,-701.108708944,-701.1084497177,-701.1259411403,-701.1074107098,-701.1319469797,-701.1077267527,-701.1203824607,-701.1210157787,-701.1220121323,-701.123106129,-701.11803662,-701.095964992,-701.1123693655,-701.1091091102,-701.1091049729,-701.1175714071,-701.1212796494,-701.1134305647,-701.139129743,-701.1117144094,-701.1153817448,-701.1273395738,-701.1176642381,-701.1023237443,-701.1104329291,-701.1191668199,-701.1225736793,-701.1280474699,-701.108927783,-701.1190287963,-701.1044428859,-701.1228025005,-701.1164124187,-701.1209744144,-701.121124173,-701.1279245317,-701.1244665453,-701.1183004055,-701.114720963,-701.1164773356,-701.1174422139,-701.11217839,-701.1262738725,-701.1170673136,-701.1147901081,-701.1171795908,-701.1265935111,-701.1305278331,-701.1118051716,-701.1183745398,-701.1098222374,-701.1356767335,-701.1097673569,-701.1090767735,-701.1366400531,-701.1245606347,-701.121305056,-701.1156896362,-701.1046501812,-701.1241807566,-701.1249074972,-701.104746423,-701.1177221526,-701.1155464433,-701.1121752568,-701.1165893586,-701.1010583101,-701.1096693581,-701.1162599854,-701.0977748754,-701.1192839093,-701.1159966116,-701.1057553251,-701.1238890491,-701.1126812116,-701.1099759702,-701.1289168055,-701.1261186033,-701.1155419384,-701.1226663074
1,cation,-700.9043298753,-700.9061412979,-700.9067336669,-700.8978747603,-700.881014585,-700.8958646783,-700.899541622,-700.8884330917,-700.902555086,-700.9074243421,-700.8839189454,-700.8926122906,-700.9072395664,-700.900166553,-700.9085695243,-700.9033503127,-700.8918514419,-700.8978185398,-700.8913489683,-700.8984379471,-700.9017032296,-700.8978970759,-700.8956123998,-700.8905793437,-700.9052769562,-700.9141666497,-700.8930215416,-700.9040358322,-700.9051537342,-700.8909673985,-700.8980943193,-700.9130200357,-700.8900488954,-700.8943400788,-700.8855565573,-700.8886949752,-700.9051046996,-700.895637221,-700.9042137419,-700.8944468257,-700.898779901,-700.8809876933,-700.9035087519,-700.902260185,-700.8865898781,-700.9111781968,-700.89816342,-700.8957978286,-700.8969392557,-700.888273669,-700.8997062995,-700.8907408201,-700.8972495688,-700.8945085883,-700.8995459637,-700.8954213482,-700.9008153383,-700.8980251937,-700.9096350113,-700.8825443158,-700.8907456305,-700.893876082,-700.888232327,-700.9004563419,-700.886334659,-700.8857888136,-700.8950625037,-700.8878804583,-700.9071263055,-700.8933561079,-700.891411999,-700.9076472121,-700.8901615186,-700.8858267552,-700.9026764458,-700.8923680282,-700.8879874431,-700.8950486788,-700.8916018134,-700.8900735847,-700.9006474252,-700.8990819702,-700.905209403,-700.9051692138,-700.8938123447,-700.8868800121,-700.8991804968,-700.8732900943,-700.9142888461,-700.8953984103,-700.9013881593,-700.895143626,-700.8863410594,-700.9032869051,-700.8996109825,-700.9025792374,-700.8888997671,-700.8854590771,-700.9040968885,-700.9033023845,-700.8969258114,-700.9016567316,-700.8849853605,-700.9055176201,-700.9052815679,-700.9003333985,-700.9102162928,-700.8847328291,-700.8990863099,-700.8931190688,-700.9065281716,-700.8967696254,-700.903631774,-700.9036671283,-700.8798428866,-700.9027336063,-700.8899997352,-700.9055773316,-700.9023175685,-700.8965598152,-700.8983228023,-700.8930799637,-700.8832787867,-700.9124686112,-700.8997594753,-700.8990661982,-700.9012973777,-700.8852026632,-700.8912525446,-700.9135403989,-700.8968347151,-700.9144563311,-700.898337158,-700.8900768598,-700.8998613465,-700.9103768914,-700.8874735986,-700.9068179733,-700.8989792114,-700.9042623927,-700.8922938243,-700.9014304451,-700.8957481526,-700.8927007971,-700.882270147,-700.8974732884,-700.9048672842,-700.9128303188,-700.9009792227,-700.8874054434,-700.9094083899,-700.9153119215,-700.9059935491,-700.8952783146,-700.8953051948,-700.8983402544,-700.8990031619,-700.8863314555,-700.8840480663,-700.8901367951,-700.9116840816,-700.8880764936,-700.896253173,-700.901970931,-700.9014630711,-700.8839055452,-700.9006613407,-700.89397662,-700.9003326511,-700.9012900034,-700.8893870395,-700.9109149683,-700.8927985325,-700.9053971372,-700.9115866981,-700.8976601385,-700.9029409947,-700.8918391149,-700.9028433662,-700.8886244353,-700.9040772681,-700.8935845829,-700.8969120023,-700.8881739484,-700.9019645927,-700.9034183424,-700.878748593,-700.8962841562,-700.9001588934,-700.886439691,-700.9022736069,-700.8850700669,-700.8985427731,-700.8925110336,-700.9052170966,-700.902323349,-700.8924910465,-700.898164796,-700.908581259,-700.892649157,-700.8952072685,-700.8923610853,-700.8970429742,-700.8870393547,-700.9033549944,-700.8903868876,-700.9071104364,-700.904282415,-700.8840144013,-700.8898992535,-700.9042213135,-700.9044369095,-700.8969419097,-700.8880811066,-700.9141076488,-700.916380711,-700.8954069263,-700.8984036517,-700.90259191,-700.8901631658,-700.8959900349,-700.9068060807,-700.8844363667,-700.8908411918,-700.8798769227,-700.8879543801,-700.8852287681,-700.9036623583,-700.8819187168,-700.9083151637,-700.9080168584,-700.9012534824,-700.907123304,-700.9035189899,-700.90199732,-700.8889517236,-700.8874982502,-700.905277043,-700.9146344727,-700.8893825984,-700.9050583856,-700.8972647578,-700.892131104,-700.8973278437,-700.8916090251,-700.8987320392,-700.9076751106,-700.8948151101,-700.9017587055,-700.8907139932,-700.8983667188,-700.8920678033,-700.9154308557,-700.8908511191,-700.8897226546,-700.8992977117,-700.9118262132,-700.9055369295,-700.8968326311,-700.8951419522,-700.8997631118,-700.9051126927,-700.8995738957,-700.9116296297,-700.8973130487,-700.8813943045,-700.8892300217,-700.9077813529,-700.8933286207,-700.8866501686,-700.9003631173,-700.8915015309,-700.9001867378,-700.9058485423,-700.9007499412,-700.905042917,-700.8949826745,-700.8839852497,-700.8947429836,-700.8968143035,-700.8991361679,-700.888545267,-700.9052707991,-700.9057704127,-700.897777555,-700.8898819512,-700.8987741553,-700.8932092925,-700.917620596,-700.8889089272,-700.8912728631,-700.8950549653,-700.9041216684,-700.8871086557,-700.9175502147,-700.863163104,-700.896810515,-700.8963634724,-700.9032451651,-700.8872596163,-700.9104612341,-700.8925060721,-700.8925719839,-700.9094876883,-700.8890216689,-700.8869422607,-700.8994433033,-700.9029647004,-700.9008988534,-700.8989511171,-700.9124798153,-700.9148290674,-700.8904522698,-700.9080009505,-700.9065329667,-700.8806960024,-700.8978945976,-700.8884527182,-700.9018150783,-700.8891783138,-700.89740698,-700.8815891608,-700.8894091421,-700.902135492,-700.8945200939,-700.9046431746,-700.8984994915,-700.9011009873,-700.9029804667,-700.9047009354,-700.8844292482,-700.892226273,-700.8921091499,-700.8929411462,-700.902916623,-700.9031273499,-700.8795541259,-700.8949485966,-700.8954029444,-700.9102165184,-700.9121046169,-700.8969523206,-700.9034578734,-700.9049305102,-700.9049630169,-700.8941206546,-700.8856641759,-700.9025025548,-700.8845847201,-700.9139997572,-700.9154796637,-700.8890100065,-700.8911686597,-700.8926338509,-700.9006709036,-700.9053491626,-700.9071310296,-700.903224799,-700.9021103976,-700.9008357527,-700.8809312827,-700.8944945719,-700.8960958483,-700.8944798856,-700.9126561017,-700.9079857129,-700.8915633781,-700.8914869659,-700.9036091747,-700.900420724,-700.8944420547,-700.9017247279,-700.9079661888,-700.890137598,-700.897846041,-700.8964745917,-700.8952484421,-700.8917688364,-700.9087575604,-700.8905705451,-700.8972474358,-700.8999947819,-700.8904481204,-700.8983929452,-700.8948823842,-700.9071660301,-700.9022624005,-700.9133161993,-700.904596262,-700.9155547254,-700.9033362934,-700.8923317239,-700.9066715228,-700.8981736025,-700.8943838459,-700.8920382183,-700.8989490658,-700.904553285,-700.8959288847,-700.8982347131,-700.8932955598,-700.9096530395,-700.9009157505,-700.9052061255,-700.8696023323,-700.8945568787,-700.9043878303,-700.9051527592,-700.8974702486,-700.9133653522,-700.8742742801,-700.8970436634,-700.8999307524,-700.9050822627,-700.8928167065,-700.9013036763,-700.9043482026,-700.8878682037,-700.8768400441,-700.8994753197,-700.8904847271,-700.8906937324,-700.9074212078,-700.8854484415,-700.9122572269,-700.8866423868,-700.8990793861,-700.9032774315,-700.9038941096,-700.9057215175,-700.9014202055,-700.8800838381,-700.8940398796,-700.8901407682,-700.8872601656,-700.8952705234,-700.9003701697,-700.8974232525,-700.9205003284,-700.8954621713,-700.8974119682,-700.90801738,-700.899716529,-700.8857167385,-700.891919483,-700.8978914983,-700.9027506197,-700.9099013609,-700.8973762396,-700.8999158194,-700.891438446,-700.9034993618,-700.8931338714,-700.9024650323,-700.9039967947,-700.9102559829,-700.905136394,-700.8980488638,-700.8961006245,-700.9013933836,-700.9014775894,-700.892805544,-700.9057370379,-700.900034577,-700.8982011785,-700.8998910645,-700.9109330624,-700.9089484666,-700.8952532288,-700.8972682621,-700.8921003794,-700.9169639787,-700.891898736,-700.8924337218,-700.91566021,-700.9054147683,-700.9042295916,-700.8981797461,-700.8875576271,-700.9032328728,-700.9080384307,-700.8815233046,-700.901049883,-700.8957094526,-700.8943542536,-700.8975042382,-700.8857535317,-700.8934580078,-700.8972012457,-700.8788787499,-700.9003782386,-700.8988551177,-700.8864624991,-700.9034529127,-700.8931962127,-700.8897183077,-700.9123663467,-700.9078383139,-700.8989317338,-700.9040246541
1,anion,-701.1315480051,-701.1346693274,-701.132487468,-701.1241095203,-701.1111632674,-701.1257692298,-701.1277610452,-701.1175456944,-701.1261113698,-701.1360315943,-701.1121146478,-701.1225712323,-701.1389418861,-701.1256928076,-701.1357361546,-701.1330014267,-701.1175115952,-701.1299694398,-701.1172409309,-701.1293606344,-701.1290380231,-701.1280786683,-701.1240350349,-701.1181115354,-701.1333231779,-701.1400990686,-701.1197901464,-701.1339666482,-701.1335490017,-701.1168779413,-701.1241259268,-701.1389684394,-701.117662324,-701.127273379,-701.1137907873,-701.1161613739,-701.1320822505,-701.126151138,-701.1320250107,-701.1253720394,-701.1243105586,-701.1049748666,-701.133858951,-701.1298754673,-701.1159405774,-701.1360524015,-701.1287364733,-701.1188400368,-701.1244238368,-701.1148794798,-701.1220006993,-701.1214531603,-701.1240622596,-701.1181557756,-701.1281907185,-701.1192835336,-701.1291796655,-701.1264869673,-701.1339499747,-701.1141019053,-701.117148365,-701.1214588041,-701.1160797717,-701.1270536564,-701.1155408082,-701.1115393433,-701.1266060456,-701.1146372419,-701.1335732593,-701.1209035073,-701.1197215354,-701.1365000798,-701.1197015818,-701.1142978137,-701.1310225161,-701.121044024,-701.1180054508,-701.1250993823,-701.1223552412,-701.1122328359,-701.1269811815,-701.1285624742,-701.1319032206,-701.137856053,-701.1236011424,-701.1138542595,-701.1333761174,-701.1004222719,-701.1426566983,-701.1208685268,-701.1292311353,-701.1202356144,-701.1164100306,-701.1284469056,-701.1256736827,-701.1294407406,-701.1171288076,-701.1123918042,-701.1341654471,-701.1325705063,-701.121648714,-701.1292351796,-701.1166500149,-701.1311906872,-701.1295748151,-701.1257611758,-701.1391314951,-701.1131432233,-701.1286836436,-701.1226197038,-701.1343021036,-701.1226260565,-701.1324447441,-701.1332603846,-701.1105820151,-701.1297997267,-701.1190657645,-701.1298892816,-701.1266406573,-701.1215706422,-701.1237395238,-701.1223913325,-701.1132366456,-701.1388846547,-701.1286410464,-701.1297817266,-701.1313835421,-701.1151048399,-701.1212666052,-701.1414561136,-701.1273147268,-701.1435536713,-701.1248299497,-701.1199608252,-701.1297348156,-701.1385899297,-701.1169664195,-701.1348953408,-701.1293003235,-701.1320215474,-701.1214749555,-701.1303068978,-701.1256323303,-701.1206001084,-701.1120313757,-701.1289891093,-701.1330181172,-701.1384498223,-701.1295882503,-701.1155060503,-701.134559099,-701.1442139516,-701.1336403744,-701.124472817,-701.1224210631,-701.1255959985,-701.1245815096,-701.1193671139,-701.1120127624,-701.1168684557,-701.1381501564,-701.1145777372,-701.124131133,-701.1306976853,-701.1289802127,-701.1135128056,-701.1259292726,-701.1216792695,-701.1243983864,-701.1300365143,-701.1152955849,-701.1366553208,-701.1210479465,-701.1334951297,-701.1414802987,-701.1243011677,-701.132963026,-701.1226157034,-701.1307763492,-701.1152784168,-701.1349678229,-701.1209372377,-701.1249708075,-701.1170549718,-701.1257086444,-701.1326393871,-701.1076584005,-701.1260126641,-701.1261762618,-701.1130866526,-701.1297969427,-701.1130119735,-701.1273630973,-701.1245470668,-701.1285570335,-701.1269294973,-701.1208996974,-701.1275027493,-701.1373822245,-701.1199333016,-701.1231877064,-701.1190865695,-701.1291674128,-701.1164826559,-701.1337612872,-701.1198816532,-701.1328913585,-701.1307267771,-701.1077119038,-701.1214746323,-701.1332478297,-701.1337730753,-701.1251737009,-701.1181497488,-701.1400578984,-701.1477259596,-701.1243258339,-701.123663309,-701.1321057814,-701.1202062388,-701.1207285914,-701.1342014265,-701.1138354266,-701.1203302158,-701.111061629,-701.116703941,-701.1134627756,-701.1316035372,-701.105308013,-701.1342755764,-701.1342741603,-701.1311265816,-701.1347677309,-701.1290639358,-701.1271159815,-701.1188049906,-701.1159140185,-701.1310342402,-701.1438368183,-701.113190211,-701.1290179788,-701.1233746642,-701.1208178208,-701.1279043217,-701.1231380489,-701.1290091537,-701.1286712419,-701.1215331878,-701.1297147383,-701.1172963837,-701.1246732741,-701.114266427,-701.143791124,-701.1184352392,-701.1200082065,-701.1283616331,-701.1368320191,-701.1321549112,-701.1247975469,-701.1260950783,-701.1269600045,-701.1270831512,-701.128227663,-701.1384538393,-701.1258386421,-701.110357522,-701.1168284022,-701.1357628421,-701.1227996122,-701.1174842129,-701.1281689954,-701.1187340753,-701.1312238524,-701.129563007,-701.1280351168,-701.1344356327,-701.1211995527,-701.1146878014,-701.1251216884,-701.127231276,-701.1312367572,-701.1144436315,-701.1322967482,-701.1326068413,-701.1242491042,-701.1210772894,-701.1301692734,-701.1255125014,-701.14508489,-701.1181460645,-701.1181119287,-701.1250113659,-701.1335420207,-701.1165547864,-701.1440778975,-701.0923024778,-701.1228787267,-701.1239018442,-701.1320898543,-701.1159282931,-701.1390088443,-701.1190903532,-701.1213646957,-701.1387989791,-701.1160233017,-701.1143369406,-701.1267103598,-701.1281990677,-701.1293626722,-701.1244472494,-701.1406516654,-701.1423987556,-701.1192304102,-701.1331539194,-701.1354320409,-701.1055109671,-701.1285797878,-701.1171703497,-701.1296428449,-701.1191599008,-701.1235163286,-701.1089218542,-701.1186741112,-701.1273521099,-701.1246418358,-701.1352554682,-701.1269606561,-701.1275454901,-701.1293578544,-701.1319496929,-701.1148419721,-701.1178229687,-701.1230437423,-701.1217448374,-701.1283642952,-701.1332732191,-701.1074312448,-701.1222169493,-701.1241605013,-701.1388107714,-701.1414500458,-701.1223541203,-701.1286217366,-701.1324498256,-701.130816397,-701.1209236998,-701.1140408868,-701.1263545243,-701.1154785034,-701.1425790046,-701.1434284021,-701.1156551541,-701.1191245865,-701.1245188742,-701.1290104957,-701.1311689748,-701.132774047,-701.1302235868,-701.1268687583,-701.1319409367,-701.1126164486,-701.1249839724,-701.1242910494,-701.123766901,-701.1405413781,-701.1361448032,-701.1215720125,-701.1195441674,-701.1323687299,-701.1286863945,-701.1212910519,-701.1277197783,-701.1380645263,-701.1190581861,-701.1266070493,-701.1247326483,-701.1254688199,-701.1188274179,-701.1361427496,-701.1173509757,-701.1262900564,-701.1249580143,-701.114833216,-701.1261023593,-701.1209635759,-701.1326421108,-701.1327795941,-701.1393539154,-701.1345063269,-701.1418530205,-701.1309001663,-701.1202772199,-701.1355747755,-701.1279242044,-701.1231958864,-701.1216665523,-701.1234007301,-701.1293069969,-701.1233601493,-701.1246880639,-701.121613807,-701.136507908,-701.1283810184,-701.1303984219,-701.1013136209,-701.1222832372,-701.1288786417,-701.1335600833,-701.1250562971,-701.1416258337,-701.1042137568,-701.1254909998,-701.1293830136,-701.1334701866,-701.1229864384,-701.1300111908,-701.1345586408,-701.1136896948,-701.1087498228,-701.1259596007,-701.1175475425,-701.1187018169,-701.1356195494,-701.1162699458,-701.1404436716,-701.1154403743,-701.1268177307,-701.130629584,-701.1306907817,-701.134444233,-701.1265730441,-701.1132492544,-701.1234685954,-701.1178232147,-701.1167280638,-701.1236314329,-701.1312766744,-701.1248805339,-701.1488793196,-701.1237376358,-701.1263488773,-701.1368238794,-701.1303244607,-701.1126086808,-701.1208680809,-701.1266378032,-701.1265917088,-701.1379464558,-701.1258596927,-701.1292865315,-701.1183540024,-701.1332017209,-701.1226865306,-701.131278711,-701.132854526,-701.1357008642,-701.1336096131,-701.1243495721,-701.1237709295,-701.1286077972,-701.1276038435,-701.1215765932,-701.1363786283,-701.128944062,-701.1246918319,-701.1265952413,-701.1355149119,-701.1399949598,-701.1232190819,-701.1278995153,-701.1224747189,-701.1421679078,-701.1196465745,-701.1205181479,-701.1458865034,-701.1314662941,-701.1326879641,-701.1261896582,-701.1162863206,-701.1290983255,-701.1339680014,-701.1116709129,-701.129492839,-701.1225961828,-701.1213028596,-701.1215173199,-701.1131396664,-701.1226062255,-701.1275699406,-701.108329817,-701.1305888909,-701.1257364467,-701.1128445739,-701.1335214177,-701.119976511,-701.119801905,-701.1382841428,-701.1349460887,-701.1263746716,-701.1327293213
