unique_index,x,y,z,c,a,aidx,px,py,pz
51,7.003362,2.6598082,5.669178e-05,0.154128,0.168714,13,-0.0,-0.0,0.1150600016117096
52,7.0033245,-2.6598272,5.669178e-05,1.296083,7.868272,14,0.0,-0.0,-0.1435299962759018
53,7.0033245,-2.6598272,5.669178e-05,0.993754,1.881288,14,0.0,-0.0,-0.1435299962759018
54,7.0033245,-2.6598272,5.669178e-05,0.495953,0.544249,14,0.0,-0.0,-0.1435299962759018
55,7.0033245,-2.6598272,5.669178e-05,0.154128,0.168714,14,0.0,-0.0,-0.1150600016117096
56,-9.213869,1.3554249,-5.669178e-05,1.296083,7.868272,15,0.0,-0.0,-0.12144999951124191
57,-9.213869,1.3554249,-5.669178e-05,0.993754,1.881288,15,0.0,-0.0,-0.12144999951124191
58,-9.213869,1.3554249,-5.669178e-05,0.495953,0.544249,15,0.0,-0.0,-0.12144999951124191
59,-9.213869,1.3554249,-5.669178e-05,0.154128,0.168714,15,0.0,-0.0,-0.11050999909639359
60,-9.213983,-1.3555382,-3.7794518e-05,1.296083,7.868272,16,-0.0,0.0,0.12144000083208084
61,-9.213983,-1.3555382,-3.7794518e-05,0.993754,1.881288,16,-0.0,0.0,0.12144000083208084
62,-9.213983,-1.3555382,-3.7794518e-05,0.495953,0.544249,16,-0.0,0.0,0.12144000083208084
63,-9.213983,-1.3555382,-3.7794518e-05,0.154128,0.168714,16,-0.0,0.0,0.11050999909639359
64,9.213813,1.3555382,7.5589036e-05,1.296083,7.868272,17,-0.0,0.0,0.12144000083208084
65,9.213813,1.3555382,7.5589036e-05,0.993754,1.881288,17,-0.0,0.0,0.12144000083208084
66,9.213813,1.3555382,7.5589036e-05,0.495953,0.544249,17,-0.0,0.0,0.12144000083208084
67,9.213813,1.3555382,7.5589036e-05,0.154128,0.168714,17,-0.0,0.0,0.11050000041723251
68,9.21368,-1.3554059,7.5589036e-05,1.296083,7.868272,18,0.0,-0.0,-0.12144999951124191
69,9.21368,-1.3554059,7.5589036e-05,0.993754,1.881288,18,0.0,-0.0,-0.12144999951124191
70,9.21368,-1.3554059,7.5589036e-05,0.495953,0.544249,18,0.0,-0.0,-0.12144999951124191
71,9.21368,-1.3554059,7.5589036e-05,0.154128,0.168714,18,0.0,-0.0,-0.11050999909639359
