unique_index,x,y,z,c,a,aidx,px,py,pz
51,7.003362,2.6598082,5.669178e-05,0.154128,0.168714,13,0.0,-0.0,-0.16177000105381012
52,7.0033245,-2.6598272,5.669178e-05,1.296083,7.868272,14,0.0,-0.0,-0.1396300047636032
53,7.0033245,-2.6598272,5.669178e-05,0.993754,1.881288,14,0.0,-0.0,-0.1396300047636032
54,7.0033245,-2.6598272,5.669178e-05,0.495953,0.544249,14,0.0,-0.0,-0.1396300047636032
55,7.0033245,-2.6598272,5.669178e-05,0.154128,0.168714,14,0.0,-0.0,-0.16176000237464905
56,-9.213869,1.3554249,-5.669178e-05,1.296083,7.868272,15,0.0,-0.0,-0.12737999856472015
57,-9.213869,1.3554249,-5.669178e-05,0.993754,1.881288,15,0.0,-0.0,-0.12737999856472015
58,-9.213869,1.3554249,-5.669178e-05,0.495953,0.544249,15,0.0,-0.0,-0.12737999856472015
59,-9.213869,1.3554249,-5.669178e-05,0.154128,0.168714,15,0.0,-0.0,-0.13732999563217163
60,-9.213983,-1.3555382,-3.7794518e-05,1.296083,7.868272,16,0.0,-0.0,-0.12738999724388123
61,-9.213983,-1.3555382,-3.7794518e-05,0.993754,1.881288,16,0.0,-0.0,-0.12738999724388123
62,-9.213983,-1.3555382,-3.7794518e-05,0.495953,0.544249,16,0.0,-0.0,-0.12738999724388123
63,-9.213983,-1.3555382,-3.7794518e-05,0.154128,0.168714,16,0.0,-0.0,-0.13734999299049377
64,9.213813,1.3555382,7.5589036e-05,1.296083,7.868272,17,-0.0,0.0,0.12738999724388123
65,9.213813,1.3555382,7.5589036e-05,0.993754,1.881288,17,-0.0,0.0,0.12738999724388123
66,9.213813,1.3555382,7.5589036e-05,0.495953,0.544249,17,-0.0,0.0,0.12738999724388123
67,9.213813,1.3555382,7.5589036e-05,0.154128,0.168714,17,-0.0,0.0,0.13734999299049377
68,9.21368,-1.3554059,7.5589036e-05,1.296083,7.868272,18,-0.0,0.0,0.12737999856472015
69,9.21368,-1.3554059,7.5589036e-05,0.993754,1.881288,18,-0.0,0.0,0.12737999856472015
70,9.21368,-1.3554059,7.5589036e-05,0.495953,0.544249,18,-0.0,0.0,0.12737999856472015
71,9.21368,-1.3554059,7.5589036e-05,0.154128,0.168714,18,-0.0,0.0,0.13732999563217163
